sequence_id,active_region,t_obs_end,frame_0,frame_1,frame_2,frame_3,target_window_start,target_window_end,binary_target_MX_24_48h,multiclass_target,log10_peak_flux
SEQ_AR-11158_202608120300,AR-11158,2026-08-12T03:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T010_202608111800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T011_202608112100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T012_202608120000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T013_202608120300.fits,2026-08-13T03:00:00+00:00,2026-08-14T03:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608120600,AR-11158,2026-08-12T06:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T011_202608112100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T012_202608120000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T013_202608120300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T014_202608120600.fits,2026-08-13T06:00:00+00:00,2026-08-14T06:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608120900,AR-11158,2026-08-12T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T012_202608120000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T013_202608120300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T014_202608120600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T015_202608120900.fits,2026-08-13T09:00:00+00:00,2026-08-14T09:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608121200,AR-11158,2026-08-12T12:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T013_202608120300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T014_202608120600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T015_202608120900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T016_202608121200.fits,2026-08-13T12:00:00+00:00,2026-08-14T12:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608121500,AR-11158,2026-08-12T15:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T014_202608120600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T015_202608120900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T016_202608121200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T017_202608121500.fits,2026-08-13T15:00:00+00:00,2026-08-14T15:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608121800,AR-11158,2026-08-12T18:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T015_202608120900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T016_202608121200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T017_202608121500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T018_202608121800.fits,2026-08-13T18:00:00+00:00,2026-08-14T18:00:00+00:00,0,0,-7.0
SEQ_AR-11158_202608122100,AR-11158,2026-08-12T21:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T016_202608121200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T017_202608121500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T018_202608121800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-11158_T019_202608122100.fits,2026-08-13T21:00:00+00:00,2026-08-14T21:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608060900,AR-12673,2026-08-06T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T000_202608060000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T001_202608060300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T002_202608060600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T003_202608060900.fits,2026-08-07T09:00:00+00:00,2026-08-08T09:00:00+00:00,1,3,-3.8539
SEQ_AR-12673_202608061200,AR-12673,2026-08-06T12:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T001_202608060300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T002_202608060600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T003_202608060900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T004_202608061200.fits,2026-08-07T12:00:00+00:00,2026-08-08T12:00:00+00:00,1,3,-3.8539
SEQ_AR-12673_202608061500,AR-12673,2026-08-06T15:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T002_202608060600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T003_202608060900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T004_202608061200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T005_202608061500.fits,2026-08-07T15:00:00+00:00,2026-08-08T15:00:00+00:00,1,3,-3.8539
SEQ_AR-12673_202608061800,AR-12673,2026-08-06T18:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T003_202608060900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T004_202608061200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T005_202608061500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T006_202608061800.fits,2026-08-07T18:00:00+00:00,2026-08-08T18:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608062100,AR-12673,2026-08-06T21:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T004_202608061200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T005_202608061500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T006_202608061800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T007_202608062100.fits,2026-08-07T21:00:00+00:00,2026-08-08T21:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608070000,AR-12673,2026-08-07T00:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T005_202608061500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T006_202608061800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T007_202608062100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T008_202608070000.fits,2026-08-08T00:00:00+00:00,2026-08-09T00:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608070300,AR-12673,2026-08-07T03:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T006_202608061800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T007_202608062100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T008_202608070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T009_202608070300.fits,2026-08-08T03:00:00+00:00,2026-08-09T03:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608070600,AR-12673,2026-08-07T06:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T007_202608062100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T008_202608070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T009_202608070300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T010_202608070600.fits,2026-08-08T06:00:00+00:00,2026-08-09T06:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608070900,AR-12673,2026-08-07T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T008_202608070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T009_202608070300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T010_202608070600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T011_202608070900.fits,2026-08-08T09:00:00+00:00,2026-08-09T09:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608071200,AR-12673,2026-08-07T12:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T009_202608070300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T010_202608070600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T011_202608070900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T012_202608071200.fits,2026-08-08T12:00:00+00:00,2026-08-09T12:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608071500,AR-12673,2026-08-07T15:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T010_202608070600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T011_202608070900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T012_202608071200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T013_202608071500.fits,2026-08-08T15:00:00+00:00,2026-08-09T15:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608071800,AR-12673,2026-08-07T18:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T011_202608070900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T012_202608071200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T013_202608071500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T014_202608071800.fits,2026-08-08T18:00:00+00:00,2026-08-09T18:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608072100,AR-12673,2026-08-07T21:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T012_202608071200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T013_202608071500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T014_202608071800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T015_202608072100.fits,2026-08-08T21:00:00+00:00,2026-08-09T21:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608080000,AR-12673,2026-08-08T00:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T013_202608071500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T014_202608071800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T015_202608072100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T016_202608080000.fits,2026-08-09T00:00:00+00:00,2026-08-10T00:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608080300,AR-12673,2026-08-08T03:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T014_202608071800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T015_202608072100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T016_202608080000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T017_202608080300.fits,2026-08-09T03:00:00+00:00,2026-08-10T03:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608080600,AR-12673,2026-08-08T06:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T015_202608072100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T016_202608080000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T017_202608080300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T018_202608080600.fits,2026-08-09T06:00:00+00:00,2026-08-10T06:00:00+00:00,0,0,-7.0
SEQ_AR-12673_202608080900,AR-12673,2026-08-08T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T016_202608080000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T017_202608080300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T018_202608080600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12673_T019_202608080900.fits,2026-08-09T09:00:00+00:00,2026-08-10T09:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608150900,AR-12887,2026-08-15T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T000_202608150000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T001_202608150300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T002_202608150600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T003_202608150900.fits,2026-08-16T09:00:00+00:00,2026-08-17T09:00:00+00:00,1,2,-4.6778
SEQ_AR-12887_202608151200,AR-12887,2026-08-15T12:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T001_202608150300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T002_202608150600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T003_202608150900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T004_202608151200.fits,2026-08-16T12:00:00+00:00,2026-08-17T12:00:00+00:00,1,2,-4.6778
SEQ_AR-12887_202608151500,AR-12887,2026-08-15T15:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T002_202608150600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T003_202608150900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T004_202608151200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T005_202608151500.fits,2026-08-16T15:00:00+00:00,2026-08-17T15:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608151800,AR-12887,2026-08-15T18:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T003_202608150900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T004_202608151200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T005_202608151500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T006_202608151800.fits,2026-08-16T18:00:00+00:00,2026-08-17T18:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608152100,AR-12887,2026-08-15T21:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T004_202608151200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T005_202608151500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T006_202608151800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T007_202608152100.fits,2026-08-16T21:00:00+00:00,2026-08-17T21:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608160000,AR-12887,2026-08-16T00:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T005_202608151500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T006_202608151800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T007_202608152100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T008_202608160000.fits,2026-08-17T00:00:00+00:00,2026-08-18T00:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608160300,AR-12887,2026-08-16T03:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T006_202608151800.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T007_202608152100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T008_202608160000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T009_202608160300.fits,2026-08-17T03:00:00+00:00,2026-08-18T03:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608160600,AR-12887,2026-08-16T06:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T007_202608152100.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T008_202608160000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T009_202608160300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T010_202608160600.fits,2026-08-17T06:00:00+00:00,2026-08-18T06:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608160900,AR-12887,2026-08-16T09:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T008_202608160000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T009_202608160300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T010_202608160600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T011_202608160900.fits,2026-08-17T09:00:00+00:00,2026-08-18T09:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608161200,AR-12887,2026-08-16T12:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T009_202608160300.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T010_202608160600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T011_202608160900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T012_202608161200.fits,2026-08-17T12:00:00+00:00,2026-08-18T12:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608161500,AR-12887,2026-08-16T15:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T010_202608160600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T011_202608160900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T012_202608161200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T013_202608161500.fits,2026-08-17T15:00:00+00:00,2026-08-18T15:00:00+00:00,0,0,-7.0
SEQ_AR-12887_202608161800,AR-12887,2026-08-16T18:00:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T011_202608160900.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T012_202608161200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T013_202608161500.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution\suit_AR-12887_T014_202608161800.fits,2026-08-17T18:00:00+00:00,2026-08-18T18:00:00+00:00,0,0,-7.0
