flare_id,active_region,start_time,peak_time,end_time,flare_class,peak_flux_wm2,integrated_flux_jm2,satellite,data_provenance
GOES_AR11465_201204222344,AR-11465,2012-04-22T23:44:01.000,2012-04-23T00:02:01.000,2012-04-23T00:29:01.000,C2.0,2e-06,0.0036,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11461_201204230550,AR-11461,2012-04-23T05:50:00.000,2012-04-23T06:08:00.000,2012-04-23T06:35:00.000,C1.2,1.1647058823529413e-06,0.0020964705882352943,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11460_201204251447,AR-11460,2012-04-25T14:47:01.000,2012-04-25T15:05:01.000,2012-04-25T15:32:01.000,C1.1,1.1176470588235294e-06,0.002011764705882353,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11465_201204291142,AR-11465,2012-04-29T11:42:01.000,2012-04-29T12:00:01.000,2012-04-29T12:27:01.000,C1.1,1.1058823529411764e-06,0.0019905882352941177,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11472_201205031803,AR-11472,2012-05-03T18:03:00.000,2012-05-03T18:21:00.000,2012-05-03T18:48:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11469_201205041044,AR-11469,2012-05-04T10:44:01.000,2012-05-04T11:02:01.000,2012-05-04T11:29:01.000,C1.5,1.5294117647058826e-06,0.0027529411764705886,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11479_201205151740,AR-11479,2012-05-15T17:40:32.000,2012-05-15T17:58:32.000,2012-05-15T18:25:32.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11481_201205151750,AR-11481,2012-05-15T17:50:00.000,2012-05-15T18:08:00.000,2012-05-15T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11486_201205261750,AR-11486,2012-05-26T17:50:00.000,2012-05-26T18:08:00.000,2012-05-26T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11492_201205291045,AR-11492,2012-05-29T10:45:01.000,2012-05-29T11:03:01.000,2012-05-29T11:30:01.000,Quiet,4.11764705882353e-07,0.0007411764705882354,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11497_201206031750,AR-11497,2012-06-03T17:50:00.000,2012-06-03T18:08:00.000,2012-06-03T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11494_201206051345,AR-11494,2012-06-05T13:45:01.000,2012-06-05T14:03:01.000,2012-06-05T14:30:01.000,C1.3,1.2941176470588237e-06,0.002329411764705883,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11492_201206052355,AR-11492,2012-06-05T23:55:00.000,2012-06-06T00:13:00.000,2012-06-06T00:40:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11498_201206070605,AR-11498,2012-06-07T06:05:01.000,2012-06-07T06:23:01.000,2012-06-07T06:50:01.000,C1.9,1.8823529411764705e-06,0.0033882352941176468,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11499_201206091622,AR-11499,2012-06-09T16:22:01.000,2012-06-09T16:40:01.000,2012-06-09T17:07:01.000,C1.8,1.7647058823529412e-06,0.003176470588235294,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11494_201206140037,AR-11494,2012-06-14T00:37:00.000,2012-06-14T00:55:00.000,2012-06-14T01:22:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11506_201206162015,AR-11506,2012-06-16T20:15:38.000,2012-06-16T20:33:38.000,2012-06-16T21:00:38.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11504_201206170639,AR-11504,2012-06-17T06:39:36.000,2012-06-17T06:57:36.000,2012-06-17T07:24:36.000,C2.1,2.11764705882353e-06,0.003811764705882354,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11504_201206172330,AR-11504,2012-06-17T23:30:01.000,2012-06-17T23:48:01.000,2012-06-18T00:15:01.000,C4.6,4.588235294117647e-06,0.008258823529411765,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11504_201206182335,AR-11504,2012-06-18T23:35:59.000,2012-06-18T23:53:59.000,2012-06-19T00:20:59.000,C2.1,2.11764705882353e-06,0.003811764705882354,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11504_201206191035,AR-11504,2012-06-19T10:35:01.000,2012-06-19T10:53:01.000,2012-06-19T11:20:01.000,C1.3,1.2941176470588237e-06,0.002329411764705883,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11510_201206250923,AR-11510,2012-06-25T09:23:02.000,2012-06-25T09:41:02.000,2012-06-25T10:08:02.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11512_201206291044,AR-11512,2012-06-29T10:44:59.000,2012-06-29T11:02:59.000,2012-06-29T11:29:59.000,C1.0,1.0352941176470586e-06,0.0018635294117647055,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11515_201207021642,AR-11515,2012-07-02T16:42:01.000,2012-07-02T17:00:01.000,2012-07-02T17:27:01.000,M6.6,6.588235294117646e-05,0.11858823529411763,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11513_201207062050,AR-11513,2012-07-06T20:50:01.000,2012-07-06T21:08:01.000,2012-07-06T21:35:01.000,C9.2,9.176470588235294e-06,0.01651764705882353,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11518_201207082044,AR-11518,2012-07-08T20:44:00.000,2012-07-08T21:02:00.000,2012-07-08T21:29:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11522_201207141750,AR-11522,2012-07-14T17:50:00.000,2012-07-14T18:08:00.000,2012-07-14T18:35:00.000,C1.6,1.6470588235294118e-06,0.0029647058823529414,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11522_201207161048,AR-11522,2012-07-16T10:48:01.000,2012-07-16T11:06:01.000,2012-07-16T11:33:01.000,C3.5,3.5294117647058825e-06,0.006352941176470588,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11519_201207170037,AR-11519,2012-07-17T00:37:00.000,2012-07-17T00:55:00.000,2012-07-17T01:22:00.000,C4.5,4.4705882352941184e-06,0.008047058823529412,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11521_201207181010,AR-11521,2012-07-18T10:10:40.000,2012-07-18T10:28:40.000,2012-07-18T10:55:40.000,C1.8,1.7647058823529412e-06,0.003176470588235294,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11528_201207251750,AR-11528,2012-07-25T17:50:00.000,2012-07-25T18:08:00.000,2012-07-25T18:35:00.000,Quiet,6.941176470588235e-07,0.0012494117647058824,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11525_201207252034,AR-11525,2012-07-25T20:34:36.000,2012-07-25T20:52:36.000,2012-07-25T21:19:36.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11528_201207261552,AR-11528,2012-07-26T15:52:01.000,2012-07-26T16:10:01.000,2012-07-26T16:37:01.000,Quiet,8e-07,0.0014399999999999999,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11533_201208010550,AR-11533,2012-08-01T05:50:00.000,2012-08-01T06:08:00.000,2012-08-01T06:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11535_201208051012,AR-11535,2012-08-05T10:12:00.000,2012-08-05T10:30:00.000,2012-08-05T10:57:00.000,C1.5,1.5294117647058826e-06,0.0027529411764705886,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11541_201208070839,AR-11541,2012-08-07T08:39:21.000,2012-08-07T08:57:21.000,2012-08-07T09:24:21.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11542_201208101737,AR-11542,2012-08-10T17:37:00.000,2012-08-10T17:55:00.000,2012-08-10T18:22:00.000,C9.9,9.882352941176467e-06,0.017788235294117643,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11542_201208112232,AR-11542,2012-08-11T22:32:01.000,2012-08-11T22:50:01.000,2012-08-11T23:17:01.000,C2.4,2.3529411764705885e-06,0.004235294117647059,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11543_201208150632,AR-11543,2012-08-15T06:32:00.000,2012-08-15T06:50:00.000,2012-08-15T07:17:00.000,C1.3,1.2941176470588237e-06,0.002329411764705883,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11546_201208241023,AR-11546,2012-08-24T10:23:00.000,2012-08-24T10:41:00.000,2012-08-24T11:08:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11561_201209031432,AR-11561,2012-09-03T14:32:53.000,2012-09-03T14:50:53.000,2012-09-03T15:17:53.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11558_201209031625,AR-11558,2012-09-03T16:25:47.000,2012-09-03T16:43:47.000,2012-09-03T17:10:47.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11560_201209060704,AR-11560,2012-09-06T07:04:01.000,2012-09-06T07:22:01.000,2012-09-06T07:49:01.000,C1.4,1.4117647058823531e-06,0.0025411764705882355,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11564_201209061356,AR-11564,2012-09-06T13:56:00.000,2012-09-06T14:14:00.000,2012-09-06T14:41:00.000,C8.5,8.470588235294118e-06,0.015247058823529412,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11566_201209100647,AR-11566,2012-09-10T06:47:38.000,2012-09-10T07:05:38.000,2012-09-10T07:32:38.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11569_201209132151,AR-11569,2012-09-13T21:51:01.000,2012-09-13T22:09:01.000,2012-09-13T22:36:01.000,C2.0,2e-06,0.0036,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11566_201209160449,AR-11566,2012-09-16T04:49:01.000,2012-09-16T05:07:01.000,2012-09-16T05:34:01.000,C1.1,1.1294117647058824e-06,0.002032941176470588,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11569_201209211158,AR-11569,2012-09-21T11:58:48.000,2012-09-21T12:16:48.000,2012-09-21T12:43:48.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11575_201209260841,AR-11575,2012-09-26T08:41:59.000,2012-09-26T08:59:59.000,2012-09-26T09:26:59.000,C1.3,1.2941176470588237e-06,0.002329411764705883,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11579_201209292310,AR-11579,2012-09-29T23:10:00.000,2012-09-29T23:28:00.000,2012-09-29T23:55:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11579_201210060631,AR-11579,2012-10-06T06:31:01.000,2012-10-06T06:49:01.000,2012-10-06T07:16:01.000,Quiet,3.529411764705882e-07,0.0006352941176470588,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11589_201210160049,AR-11589,2012-10-16T00:49:01.000,2012-10-16T01:07:01.000,2012-10-16T01:34:01.000,C1.6,1.6470588235294118e-06,0.0029647058823529414,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11596_201210220205,AR-11596,2012-10-22T02:05:04.000,2012-10-22T02:23:04.000,2012-10-22T02:50:04.000,C2.1,2.11764705882353e-06,0.003811764705882354,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11589_201210220550,AR-11589,2012-10-22T05:50:00.000,2012-10-22T06:08:00.000,2012-10-22T06:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11596_201210242041,AR-11596,2012-10-24T20:41:01.000,2012-10-24T20:59:01.000,2012-10-24T21:26:01.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11593_201210250017,AR-11593,2012-10-25T00:17:00.000,2012-10-25T00:35:00.000,2012-10-25T01:02:00.000,C2.8,2.8235294117647062e-06,0.005082352941176471,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11612_201211130225,AR-11612,2012-11-13T02:25:01.000,2012-11-13T02:43:01.000,2012-11-13T03:10:01.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11614_201211150154,AR-11614,2012-11-15T01:54:00.000,2012-11-15T02:12:00.000,2012-11-15T02:39:00.000,C1.5,1.5294117647058826e-06,0.0027529411764705886,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11613_201211161355,AR-11613,2012-11-16T13:55:58.000,2012-11-16T14:13:58.000,2012-11-16T14:40:58.000,C1.6,1.6470588235294118e-06,0.0029647058823529414,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11610_201211170145,AR-11610,2012-11-17T01:45:01.000,2012-11-17T02:03:01.000,2012-11-17T02:30:01.000,C1.2,1.1764705882352942e-06,0.0021176470588235297,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11623_201211302027,AR-11623,2012-11-30T20:27:01.000,2012-11-30T20:45:01.000,2012-11-30T21:12:01.000,Quiet,8.941176470588236e-07,0.0016094117647058824,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11623_201212081010,AR-11623,2012-12-08T10:10:00.000,2012-12-08T10:28:00.000,2012-12-08T10:55:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11632_201212142005,AR-11632,2012-12-14T20:05:00.000,2012-12-14T20:23:00.000,2012-12-14T20:50:00.000,C1.4,1.4117647058823531e-06,0.0025411764705882355,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11633_201212192235,AR-11633,2012-12-19T22:35:00.000,2012-12-19T22:53:00.000,2012-12-19T23:20:00.000,Quiet,6.823529411764705e-07,0.001228235294117647,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11633_201212220720,AR-11633,2012-12-22T07:20:01.000,2012-12-22T07:38:01.000,2012-12-22T08:05:01.000,Quiet,8e-07,0.0014399999999999999,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11642_201301040908,AR-11642,2013-01-04T09:08:15.000,2013-01-04T09:26:15.000,2013-01-04T09:53:15.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11638_201301041546,AR-11638,2013-01-04T15:46:42.000,2013-01-04T16:04:42.000,2013-01-04T16:31:42.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11650_201301071401,AR-11650,2013-01-07T14:01:00.000,2013-01-07T14:19:00.000,2013-01-07T14:46:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11654_201301101750,AR-11654,2013-01-10T17:50:00.000,2013-01-10T18:08:00.000,2013-01-10T18:35:00.000,C2.6,2.588235294117648e-06,0.0046588235294117665,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
